"GENDER" "RACE" "WKSESL" "C1GMOTOR" "C1FMOTOR" "T1INTERN" "T1EXTERN" "T1INTERP" "T1CONTRO" "P1FIRKDG" "AGEBASELINE" "score" "time" "CHILDID"
"66164" "male" "Hispanic" -0.53 8 7 1.25 1 2.25 2.67 1 66 0.76 7.68114574786861 "42"
"87573" "male" "Hispanic" -0.53 8 7 1.25 1 2.25 2.67 1 66 1 9.79795897113271 "42"
"1945" "male" "black or African American non-Hispanic" 0.45 8 8 1 2 2.6 2.75 1 67 -0.91 0 "43"
"23354" "male" "black or African American non-Hispanic" 0.45 8 8 1 2 2.6 2.75 1 67 0.02 3.3166247903554 "43"
"44763" "male" "black or African American non-Hispanic" 0.45 8 8 1 2 2.6 2.75 1 67 0.33 6 "43"
"66172" "male" "black or African American non-Hispanic" 0.45 8 8 1 2 2.6 2.75 1 67 0.93 7.68114574786861 "43"
"87581" "male" "black or African American non-Hispanic" 0.45 8 8 1 2 2.6 2.75 1 67 1.19 9.79795897113271 "43"
"1976" "male" "white, non-Hispanic" 0.73 8 3 1.5 1.2 2.6 3.33 1 77 -0.78 0 "44"
"23385" "male" "white, non-Hispanic" 0.73 8 3 1.5 1.2 2.6 3.33 1 77 -0.12 3.46410161513775 "44"
"44794" "male" "white, non-Hispanic" 0.73 8 3 1.5 1.2 2.6 3.33 1 77 0.82 6 "44"
"66203" "male" "white, non-Hispanic" 0.73 8 3 1.5 1.2 2.6 3.33 1 77 1.04 7.61577310586391 "44"
"87612" "male" "white, non-Hispanic" 0.73 8 3 1.5 1.2 2.6 3.33 1 77 1.8 9.74679434480896 "44"
"2012" "female" "white, non-Hispanic" -0.19 8 9 1.75 2.2 2.4 2.75 1 67 -0.48 0 "45"
"23421" "female" "white, non-Hispanic" -0.19 8 9 1.75 2.2 2.4 2.75 1 67 0.4 3.46410161513775 "45"
"44830" "female" "white, non-Hispanic" -0.19 8 9 1.75 2.2 2.4 2.75 1 67 1.24 5.91607978309962 "45"
"66239" "female" "white, non-Hispanic" -0.19 8 9 1.75 2.2 2.4 2.75 1 67 1.28 7.68114574786861 "45"
"87648" "female" "white, non-Hispanic" -0.19 8 9 1.75 2.2 2.4 2.75 1 67 1.7 9.69535971483266 "45"
"2036" "female" "white, non-Hispanic" 1.07 5 6 2 2.4 3.2 3.25 1 80 -0.84 0 "46"
"23445" "female" "white, non-Hispanic" 1.07 5 6 2 2.4 3.2 3.25 1 80 -0.06 3.46410161513775 "46"
"44854" "female" "white, non-Hispanic" 1.07 5 6 2 2.4 3.2 3.25 1 80 0.83 6 "46"
